Country Name,Country Code,2015 [YR2015]
Luxembourg,LUX,1.5
Iceland,ISL,1.6
Finland,FIN,1.9
Norway,NOR,2
Japan,JPN,2
Andorra,AND,2.1
Singapore,SGP,2.1
Slovenia,SVN,2.1
Estonia,EST,2.3
Sweden,SWE,2.4
Cyprus,CYP,2.5
San Marino,SMR,2.6
Monaco,MCO,2.8
Czech Republic,CZE,2.8
Austria,AUT,2.9
"Korea, Rep.",KOR,2.9
Italy,ITA,2.9
Denmark,DNK,2.9
Australia,AUS,3
Ireland,IRL,3
Portugal,PRT,3
Germany,DEU,3.1
Netherlands,NLD,3.2
Israel,ISR,3.2
Lithuania,LTU,3.3
Belgium,BEL,3.3
Switzerland,CHE,3.4
Belarus,BLR,3.4
Spain,ESP,3.5
United Kingdom,GBR,3.5
France,FRA,3.5
Greece,GRC,3.6
Croatia,HRV,3.6
Cuba,CUB,4
Canada,CAN,4.3
Montenegro,MNE,4.3
Poland,POL,4.5
New Zealand,NZL,4.7
"Macedonia, FYR",MKD,4.8
Bosnia and Herzegovina,BIH,5.1
Malta,MLT,5.1
Hungary,HUN,5.3
Bahrain,BHR,5.3
United States,USA,5.6
Slovak Republic,SVK,5.8
Antigua and Barbuda,ATG,5.8
Serbia,SRB,5.9
United Arab Emirates,ARE,5.9
Malaysia,MYS,6
Qatar,QAT,6.8
Latvia,LVA,6.9
Chile,CHL,7
Lebanon,LBN,7.1
Kuwait,KWT,7.3
Maldives,MDV,7.4
Ukraine,UKR,7.7
Russian Federation,RUS,8.2
Sri Lanka,LKA,8.4
St. Kitts and Nevis,KNA,8.4
Costa Rica,CRI,8.5
Brunei Darussalam,BRN,8.6
Uruguay,URY,8.7
China,CHN,9.2
Bulgaria,BGR,9.3
Romania,ROU,9.7
Oman,OMN,9.9
"Bahamas, The",BHS,9.9
Thailand,THA,10.5
Georgia,GEO,10.6
Grenada,GRD,10.8
Syrian Arab Republic,SYR,11.1
Argentina,ARG,11.1
Mexico,MEX,11.3
Libya,LBY,11.4
Turkey,TUR,11.6
Seychelles,SYC,11.7
Mauritius,MUS,11.8
Barbados,BRB,12
Tunisia,TUN,12.1
Saudi Arabia,SAU,12.5
Albania,ALB,12.5
Kazakhstan,KAZ,12.6
Armenia,ARM,12.6
St. Lucia,LCA,12.7
"Venezuela, RB",VEN,12.9
Peru,PER,13.1
"Iran, Islamic Rep.",IRN,13.4
Jamaica,JAM,13.5
Moldova,MDA,13.6
Colombia,COL,13.6
Belize,BLZ,14.2
Palau,PLW,14.2
Tonga,TON,14.4
El Salvador,SLV,14.4
Brazil,BRA,14.6
Panama,PAN,14.6
Samoa,WSM,15
Jordan,JOR,15.4
St. Vincent and the Grenadines,VCT,16.6
Vietnam,VNM,17.3
Honduras,HND,17.4
Paraguay,PRY,17.5
West Bank and Gaza,PSE,18
Trinidad and Tobago,TTO,18.2
Ecuador,ECU,18.4
Nicaragua,NIC,18.8
Mongolia,MNG,19
Suriname,SUR,19
Kyrgyz Republic,KGZ,19
Fiji,FJI,19.1
Dominica,DMA,19.6
"Korea, Dem. Peopleâ€™s Rep.",PRK,19.7
"Egypt, Arab Rep.",EGY,20.3
Cabo Verde,CPV,20.7
Algeria,DZA,21.9
Philippines,PHL,22.2
Tuvalu,TUV,22.8
Indonesia,IDN,22.8
Vanuatu,VUT,23.1
Solomon Islands,SLB,23.6
Morocco,MAR,23.7
Guatemala,GTM,24.3
Cambodia,KHM,24.6
Dominican Republic,DOM,25.7
Iraq,IRQ,26.5
Bhutan,BTN,27.2
Azerbaijan,AZE,27.9
"Micronesia, Fed. Sts.",FSM,28.6
Nauru,NRU,29.1
Nepal,NPL,29.4
Marshall Islands,MHL,29.6
Bolivia,BOL,30.6
Bangladesh,BGD,30.7
Rwanda,RWA,31.1
Guyana,GUY,32
Namibia,NAM,32.8
"Congo, Rep.",COG,33.2
South Africa,ZAF,33.6
"Yemen, Rep.",YEM,33.8
Uzbekistan,UZB,33.9
Eritrea,ERI,34.1
Sao Tome and Principe,STP,34.6
Botswana,BWA,34.8
Tanzania,TZA,35.2
Kenya,KEN,35.5
Madagascar,MDG,35.9
Gabon,GAB,36.1
Uganda,UGA,37.7
India,IND,37.9
Tajikistan,TJK,38.5
Myanmar,MMR,39.5
Ethiopia,ETH,41.4
Senegal,SEN,41.7
Ghana,GHA,42.8
Zambia,ZMB,43.3
Malawi,MWI,43.4
Kiribati,KIR,43.6
Turkmenistan,TKM,43.7
Papua New Guinea,PNG,44.5
Swaziland,SWZ,44.5
Timor-Leste,TLS,44.7
Zimbabwe,ZWE,46.6
Sudan,SDN,47.6
"Gambia, The",GMB,47.9
Lao PDR,LAO,50.7
Haiti,HTI,52.2
Togo,TGO,52.3
Liberia,LBR,52.8
Burundi,BDI,54.1
Djibouti,DJI,54.2
Comoros,COM,55.1
Mozambique,MOZ,56.7
Niger,NER,57.1
Cameroon,CMR,57.1
South Sudan,SSD,60.3
Guinea-Bissau,GNB,60.3
Burkina Faso,BFA,60.9
Guinea,GIN,61
Benin,BEN,64.2
Mauritania,MRT,65.1
Pakistan,PAK,65.8
Afghanistan,AFG,66.3
Cote d'Ivoire,CIV,66.6
Equatorial Guinea,GNQ,68.2
Lesotho,LSO,69.2
Nigeria,NGA,69.4
"Congo, Dem. Rep.",COD,74.5
Mali,MLI,74.5
Chad,TCD,85
Somalia,SOM,85
Sierra Leone,SLE,87.1
Central African Republic,CAF,91.5
Angola,AGO,96
